phack,gain,typeI,power,nTotExptsPrivRep,nPrivRealInterestEffs,nPrivRealInterestTrueEffs,nTotExptsPubRep,nPubRealInterestEffs,nPubRealInterestTrueEffs
0,0,0.05565,NaN,105.565,0.043,0,105.565,0.048,0
0,1,0.05517,NaN,105.517,0.028,0,100.534,0.076,0
0,5,0.0556899999999999,NaN,105.569,0.037,0,100.8,0.072,0
0,10,0.0547999999999999,NaN,105.48,0.067,0,101.27,0.091,0
1,0,0.0853100000000001,NaN,108.531,0.111,0,108.531,0.098,0
1,1,0.0869599999999997,NaN,108.696,0.072,0,100.854,0.102,0
1,5,0.0859299999999999,NaN,108.593,0.106,0,101.217,0.147,0
1,10,0.08622,NaN,108.622,0.165,0,101.961,0.184,0
5,0,0.11794,NaN,111.794,0.201,0,111.794,0.191,0
5,1,0.11837,NaN,111.837,0.149,0,101.225,0.177,0
5,5,0.11926,NaN,111.926,0.197,0,101.681,0.234,0
5,10,0.11952,NaN,111.952,0.345,0,102.804,0.319,0
10,0,0.13381,NaN,113.381,0.247,0,113.381,0.238,0
10,1,0.13326,NaN,113.326,0.194,0,101.401,0.205,0
10,5,0.13454,NaN,113.454,0.271,0,101.959,0.275,0
10,10,0.1331,NaN,113.31,0.413,0,103.192,0.45,0
