phack,gain,typeI,power,nTotExptsPrivRep,nPrivRealInterestEffs,nPrivRealInterestTrueEffs,nTotExptsPubRep,nPubRealInterestEffs,nPubRealInterestTrueEffs
0,0,1,1,200,1.749,1.04,200,1.797,1.128
0,1,1,1,200,1.211,0.731,110.178,1.247,0.693
0,5,1,1,200,1.824,0.895,114.38,1.786,1.054
0,10,1,1,200,2.851,1.655,123.615,2.739,1.561
1,0,1,1,200,2.191,1.128,200,2.138,1.149
1,1,1,1,200,1.584,0.87,110.107,1.614,0.824
1,5,1,1,200,2.051,1.289,114.261,2.23,1.093
1,10,1,1,200,3.684,1.815,123.57,3.805,1.874
5,0,1,1,200,2.787,1.307,200,2.628,1.31
5,1,1,1,200,1.949,0.865,110.175,2.001,0.907
5,5,1,1,200,2.839,1.116,114.273,2.754,1.248
5,10,1,1,200,4.541,1.977,123.585,4.431,1.985
10,0,1,1,200,2.801,1.306,200,2.841,1.218
10,1,1,1,200,2.204,0.93,110.031,2.136,0.863
10,5,1,1,200,3.106,1.307,114.29,3.087,1.264
10,10,1,1,200,5.203,2.187,123.63,5.077,2.187
