phack,gain,typeI,power,nTotExptsPrivRep,nPrivRealInterestEffs,nPrivRealInterestTrueEffs,nTotExptsPubRep,nPubRealInterestEffs,nPubRealInterestTrueEffs
0,0,0.0526233785138036,0.784740625387684,111.71,0.78,0.67,111.71,0.67,0.81
0,1,0.0574632329101361,0.778140123249643,112.45,0.7,0.71,101.34,0.68,0.61
0,5,0.0568723864724442,0.751233197358197,111.95,0.68,0.59,101.78,0.79,0.74
0,10,0.059712405036934,0.765104751457692,112.47,1.55,0.71,103.11,1.55,1.45
1,0,0.0849426856311019,0.87697188621492,115.5,1.24,1.01,115.5,0.95,0.91
1,1,0.083915932451396,0.874829965972427,115.48,0.69,0.75,101.62,0.86,0.74
1,5,0.0876404998076945,0.860177606535191,116.21,0.95,0.85,102.41,1.16,1.11
1,10,0.0910350172402714,0.835392985712258,115.41,1.87,1.35,103.58,1.58,1.33
5,0,0.119218728987522,0.967041672379908,119.65,1.25,1.1,119.65,1.4,0.89
5,1,0.11527468952878,0.965988706942361,118.84,0.99,0.82,101.97,1,0.89
5,5,0.115317496551239,0.959786216449529,119.03,1.1,1.06,102.65,1.24,1.09
5,10,0.115167400871939,0.975342496985299,119.31,2.11,2.28,104.18,2.05,1.75
10,0,0.138670481277303,0.995875,121.25,1.24,1.2,121.25,1.61,1.03
10,1,0.13620486125282,0.993206120478848,121.01,1.11,0.95,102.18,0.93,0.8
10,5,0.134415279426758,0.991730158730159,121.26,1.44,1.65,102.65,1.3,1.13
10,10,0.129324745573231,0.998,121.09,2.32,2.23,105.21,2.73,2.37
