Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Shrikanth, S., Szpunar, P.M., Szpunar, K.K.","Staying Positive in a Dystopian Future: A Novel Dissociation Between Personal and Collective Cognition",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000421,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044460484&doi=10.1037%2fxge0000421&partnerID=40&md5=ee64a15feae8402721781f9902ecea50",Article in Press,,Scopus,2-s2.0-85044460484
"Saunders, B., Riesel, A., Klawohn, J., Inzlicht, M.","Interpersonal Touch Enhances Cognitive Control: A Neurophysiological Investigation",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000412,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044196968&doi=10.1037%2fxge0000412&partnerID=40&md5=f49235c1a65a139392d900abd1a9c217",Article in Press,,Scopus,2-s2.0-85044196968
"Ludvig, E.A., Madan, C.R., McMillan, N., Xu, Y., Spetch, M.L.","Living Near the Edge: How Extreme Outcomes and Their Neighbors Drive Risky Choice",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000414,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044240052&doi=10.1037%2fxge0000414&partnerID=40&md5=c18f25a656c2c97ae034acaf9af4cb45",Article in Press,,Scopus,2-s2.0-85044240052
"Nguyen, A.T.T., Palmer, C.J., Otsuka, Y., Clifford, C.W.G.","Biases in Perceiving Gaze Vergence",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000398,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044186390&doi=10.1037%2fxge0000398&partnerID=40&md5=5945891b85161f21f8bcc78cca0bea86",Article in Press,,Scopus,2-s2.0-85044186390
"Landy, J.F., Bartels, D.M.","An Empirically-Derived Taxonomy of Moral Concepts",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000404,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043992150&doi=10.1037%2fxge0000404&partnerID=40&md5=d7a3764dcb55a7eebfebfa27eb7d9701",Article in Press,,Scopus,2-s2.0-85043992150
"Dodell-Feder, D., Tamir, D.I.","Fiction Reading Has a Small Positive Impact on Social Cognition: A Meta-Analysis",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000395,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042404002&doi=10.1037%2fxge0000395&partnerID=40&md5=d411410a48a380987afc398bdad97656",Article in Press,,Scopus,2-s2.0-85042404002
"Leong, Y.C., Zaki, J.","Unrealistic optimism in advice taking: A computational account",2018,"Journal of Experimental Psychology: General","147","2",,"170","189",,,10.1037/xge0000382,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034446459&doi=10.1037%2fxge0000382&partnerID=40&md5=0fa79e78aafc03806115aa27629cc4bc",Article,,Scopus,2-s2.0-85034446459
"Lick, D.J., Alter, A.L., Freeman, J.B.","Superior pattern detectors efficiently learn, activate, apply, and update social stereotypes",2018,"Journal of Experimental Psychology: General","147","2",,"209","227",,,10.1037/xge0000349,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024495775&doi=10.1037%2fxge0000349&partnerID=40&md5=70c11ee2dc54b9610cbf40e8994afb7c",Article,,Scopus,2-s2.0-85024495775
"Bisby, J.A., Horner, A.J., Bush, D., Burgess, N.","Negative emotional content disrupts the coherence of episodic memories",2018,"Journal of Experimental Psychology: General","147","2",,"243","256",,,10.1037/xge0000356,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028361658&doi=10.1037%2fxge0000356&partnerID=40&md5=fc7f3485092f498ef64af5c401ca0ba9",Article,Open Access,Scopus,2-s2.0-85028361658
"Guterstam, A., Szczotka, J., Zeberg, H., Ehrsson, H.H.","Tool use changes the spatial extension of the magnetic touch Illusion",2018,"Journal of Experimental Psychology: General","147","2",,"298","303",,,10.1037/xge0000390,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041032520&doi=10.1037%2fxge0000390&partnerID=40&md5=cfcf75e1fb9d87f53211712f76f0fe1d",Article,,Scopus,2-s2.0-85041032520
