Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Beesley, T., Hanafi, G., Vadillo, M.A., Shanks, D.R., Livesey, E.J.","Overt Attention in Contextual Cuing of Visual Search is Driven by the Attentional Set, but Not by the Predictiveness of Distractors",2018,"Journal of Experimental Psychology: Learning Memory and Cognition",,,,"","",,,10.1037/xlm0000467,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044738023&doi=10.1037%2fxlm0000467&partnerID=40&md5=d3c3d26ec606af7e1cb6dcbaf30423d7",Article in Press,,Scopus,2-s2.0-85044738023
"Macnamara, B.N., Frank, D.J.","How do Task Characteristics Affect Learning and Performance? The Roles of Variably Mapped and Dynamic Tasks",2018,"Journal of Experimental Psychology: Learning Memory and Cognition",,,,"","",,,10.1037/xlm0000487,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044773325&doi=10.1037%2fxlm0000487&partnerID=40&md5=78d96aab3820c3801dbf5d1acf565a9d",Article in Press,,Scopus,2-s2.0-85044773325
"Wang, F.H., Mintz, T.H.","Learning Nonadjacent Dependencies Embedded in Sentences of an Artificial Language: When Learning Breaks Down",2018,"Journal of Experimental Psychology: Learning Memory and Cognition",,,,"","",,,10.1037/xlm0000483,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044725531&doi=10.1037%2fxlm0000483&partnerID=40&md5=0346116440ac7bf8c41e3c2112939a37",Article in Press,,Scopus,2-s2.0-85044725531
"Morvinski, C., Amir, O.","Liking Goes With Liking: An Intuitive Congruence Between Preference and Prominence",2018,"Journal of Experimental Psychology: Learning Memory and Cognition",,,,"","",,,10.1037/xlm0000471,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044342106&doi=10.1037%2fxlm0000471&partnerID=40&md5=6722be82db0f02128a56dc1b6cef965c",Article in Press,,Scopus,2-s2.0-85044342106
"Lehmer, E.-M.","Part-List Cuing Can Impair, Improve, or Not Influence Recall Performance: The Critical Roles of Encoding and Access to Study Context at Test",2018,"Journal of Experimental Psychology: Learning Memory and Cognition",,,,"","",,,10.1037/xlm0000517,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044321235&doi=10.1037%2fxlm0000517&partnerID=40&md5=ebf00c3815b4f6603f45b69abc4c67ae",Article in Press,,Scopus,2-s2.0-85044321235
"Lee, J.C., Hayes, B.K., Lovibond, P.F.","Peak Shift and Rules in Human Generalization",2018,"Journal of Experimental Psychology: Learning Memory and Cognition",,,,"","",,,10.1037/xlm0000558,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043986768&doi=10.1037%2fxlm0000558&partnerID=40&md5=22c1dcd5752415cb447dfa2a8f7d4ad4",Article in Press,,Scopus,2-s2.0-85043986768
"Rouhani, N., Norman, K.A., Niv, Y.","Dissociable Effects of Surprising Rewards on Learning and Memory",2018,"Journal of Experimental Psychology: Learning Memory and Cognition",,,,"","",,,10.1037/xlm0000518,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043983429&doi=10.1037%2fxlm0000518&partnerID=40&md5=6a34c3e70ed478078468e0a00c19bdd9",Article in Press,,Scopus,2-s2.0-85043983429
"Anderson, F.T., Rummel, J., McDaniel, M.A.","Proceeding With Care for Successful Prospective Memory: Do We Delay Ongoing Responding or Actively Monitor for Cues?",2018,"Journal of Experimental Psychology: Learning Memory and Cognition",,,,"","",,,10.1037/xlm0000504,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043986521&doi=10.1037%2fxlm0000504&partnerID=40&md5=6a773f7c1478416e6e244b53f3cfd0fb",Article in Press,,Scopus,2-s2.0-85043986521
"Tiffin-Richards, S.P., Schroeder, S.","The Development of Wrap-Up Processes in Text Reading: A Study of Children's Eye Movements",2018,"Journal of Experimental Psychology: Learning Memory and Cognition",,,,"","",,,10.1037/xlm0000506,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042864550&doi=10.1037%2fxlm0000506&partnerID=40&md5=a9d5b4fde605f949eb46fd2596988811",Article in Press,,Scopus,2-s2.0-85042864550
"Nash, R.A., Winstone, N.E., Gregory, S.E.A., Papps, E.","A Memory Advantage for Past-Oriented Over Future-Oriented Performance Feedback",2018,"Journal of Experimental Psychology: Learning Memory and Cognition",,,,"","",,,10.1037/xlm0000549,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042883267&doi=10.1037%2fxlm0000549&partnerID=40&md5=4e625b5ab529f5f3b2144c87a9a7981c",Article in Press,,Scopus,2-s2.0-85042883267
"Beck, M.R., Goldstein, R.R., van Lamsweerde, A.E., Ericson, J.M.","Attending globally or locally: Incidental learning of optimal visual attention allocation",2018,"Journal of Experimental Psychology: Learning Memory and Cognition","44","3",,"387","398",,,10.1037/xlm0000428,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021754881&doi=10.1037%2fxlm0000428&partnerID=40&md5=6cd84f25276fd2df323af440bbeaba9c",Article,,Scopus,2-s2.0-85021754881
"Miller, J., Brookie, K., Wales, S., Wallace, S., Kaup, B.","Embodied cognition: Is activation of the motor cortex essential for understanding action verbs?",2018,"Journal of Experimental Psychology: Learning Memory and Cognition","44","3",,"335","370",,,10.1037/xlm0000451,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029802475&doi=10.1037%2fxlm0000451&partnerID=40&md5=8abd6facede394516a2ac7b40aa0f0f8",Article,,Scopus,2-s2.0-85029802475
"Daniel, T.A., Katz, J.S.","Primacy and recency effects for taste",2018,"Journal of Experimental Psychology: Learning Memory and Cognition","44","3",,"399","405",,,10.1037/xlm0000437,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021750958&doi=10.1037%2fxlm0000437&partnerID=40&md5=9e91a5e00249ff89340c278d18081508",Article,,Scopus,2-s2.0-85021750958
"Winskel, H., Ratitamkul, T., Perea, M.","Can the first letter advantage be shaped by script-specific characteristics?",2018,"Journal of Experimental Psychology: Learning Memory and Cognition","44","3",,"493","500",,1,10.1037/xlm0000434,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021758852&doi=10.1037%2fxlm0000434&partnerID=40&md5=67b20bd058bdc6729a2cff0cbd59ec17",Article,,Scopus,2-s2.0-85021758852
"Schmidtke, D., Van Dyke, J.A., Kuperman, V.","Individual variability in the semantic processing of english compound words",2018,"Journal of Experimental Psychology: Learning Memory and Cognition","44","3",,"421","439",,,10.1037/xlm0000442,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029788186&doi=10.1037%2fxlm0000442&partnerID=40&md5=176df6a92a186baad21bcfeb16ae51f1",Article,,Scopus,2-s2.0-85029788186
"Yang, C., Shanks, D.R.","The forward testing effect: Interim testing enhances inductive learning",2018,"Journal of Experimental Psychology: Learning Memory and Cognition","44","3",,"485","492",,,10.1037/xlm0000449,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029806015&doi=10.1037%2fxlm0000449&partnerID=40&md5=e1132c0c11c0748a1fedfa5620609ed8",Article,,Scopus,2-s2.0-85029806015
"Besken, M.","Generating lies produces lower memory predictions and higher memory performance than telling the truth: Evidence for a metacognitive illusion",2018,"Journal of Experimental Psychology: Learning Memory and Cognition","44","3",,"465","484",,,10.1037/xlm0000459,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029799529&doi=10.1037%2fxlm0000459&partnerID=40&md5=3942cb9e59dba1f19f41f7324606fd5c",Article,,Scopus,2-s2.0-85029799529
"Kim, A.E., Oines, L., Miyake, A.","Individual differences in verbal working memory underlie a tradeoff between semantic and structural processing difficulty during language comprehension: An ERP investigation",2018,"Journal of Experimental Psychology: Learning Memory and Cognition","44","3",,"406","420",,,10.1037/xlm0000457,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029792236&doi=10.1037%2fxlm0000457&partnerID=40&md5=1d288a206bae8ed452df3e1155003783",Article,,Scopus,2-s2.0-85029792236
"Vasilev, M.R., Slattery, T.J., Kirkby, J.A., Angele, B.","What are the costs of degraded parafoveal previews during silent reading?",2018,"Journal of Experimental Psychology: Learning Memory and Cognition","44","3",,"371","386",,,10.1037/xlm0000433,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021698254&doi=10.1037%2fxlm0000433&partnerID=40&md5=749ae6b2331e93772792785099516514",Article,,Scopus,2-s2.0-85021698254
"Servant, M., Cassey, P., Woodman, G.F., Logan, G.D.","Neural bases of automaticity",2018,"Journal of Experimental Psychology: Learning Memory and Cognition","44","3",,"440","464",,1,10.1037/xlm0000454,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029797041&doi=10.1037%2fxlm0000454&partnerID=40&md5=3d740add903cfc2abc89c161359e85fd",Article,,Scopus,2-s2.0-85029797041
"Pexman, P.M., Yap, M.J.","Individual Differences in Semantic Processing: Insights From the Calgary Semantic Decision Project",2018,"Journal of Experimental Psychology: Learning Memory and Cognition",,,,"","",,,10.1037/xlm0000499,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042453306&doi=10.1037%2fxlm0000499&partnerID=40&md5=0fac5522234495df25026fbac56c4fea",Article in Press,,Scopus,2-s2.0-85042453306
"Högden, F., Hütter, M., Unkelbach, C.","Does Evaluative Conditioning Depend on Awareness? Evidence From a Continuous Flash Suppression Paradigm",2018,"Journal of Experimental Psychology: Learning Memory and Cognition",,,,"","",,,10.1037/xlm0000533,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042434987&doi=10.1037%2fxlm0000533&partnerID=40&md5=3ca74380caf480c0676c1c2b8985acd4",Article in Press,,Scopus,2-s2.0-85042434987
