Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Kalanthroff, E., Davelaar, E.J., Henik, A., Goldfarb, L., Usher, M.","Task conflict and proactive control: A computational theory of the stroop task",2018,"Psychological Review","125","1",,"59","82",,,10.1037/rev0000083,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031695769&doi=10.1037%2frev0000083&partnerID=40&md5=84e4c2b8b5675b498e2d11d48c342593",Article,,Scopus,2-s2.0-85031695769
"Houghton, G.","Action and perception in literacy: A common-code for spelling and reading",2018,"Psychological Review","125","1",,"83","116",,,10.1037/rev0000084,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031698636&doi=10.1037%2frev0000084&partnerID=40&md5=5c254d7e70b5cccfe4fa264074bbdd20",Article,,Scopus,2-s2.0-85031698636
"Killeen, P.R., Taylor, T.J., Treviño, M.","Subjects adjust criterion on errors in perceptual decision tasks",2018,"Psychological Review","125","1",,"117","130",,,10.1037/rev0000056,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040700908&doi=10.1037%2frev0000056&partnerID=40&md5=226cb31dfc78390eb7d33aa7018c7ecb",Article,,Scopus,2-s2.0-85040700908
"Ratcliff, R., Voskuilen, C., McKoon, G.","Internal and external sources of variability in perceptual decision-making",2018,"Psychological Review","125","1",,"33","46",,1,10.1037/rev0000080,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031679161&doi=10.1037%2frev0000080&partnerID=40&md5=ebca4022c766ef6aed3122691266677e",Article,,Scopus,2-s2.0-85031679161
"Howard, M.W., Shankar, K.H.","Neural scaling laws for an uncertain world",2018,"Psychological Review","125","1",,"47","58",,,10.1037/rev0000081,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031670453&doi=10.1037%2frev0000081&partnerID=40&md5=4df03c8bcdadb5ab1f4b01dbf367bef6",Article,,Scopus,2-s2.0-85031670453
"Lieder, F., Griffiths, T.L., Hsu, M.","Overrepresentation of extreme events in decision making reflects rational use of cognitive resources",2018,"Psychological Review","125","1",,"1","32",,,10.1037/rev0000074,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031696865&doi=10.1037%2frev0000074&partnerID=40&md5=d649ecb15596a4332443871379fa17fa",Article,,Scopus,2-s2.0-85031696865
"Turner, B.M., Schley, D.R., Muller, C., Tsetsos, K.","Competing Theories of Multialternative, Multiattribute Preferential Choice",2017,"Psychological Review",,,,"","",,,10.1037/rev0000089,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038613715&doi=10.1037%2frev0000089&partnerID=40&md5=4926fa4459aef96b159e0d09bebdfb9e",Article in Press,,Scopus,2-s2.0-85038613715
"Stephens, R.G., Dunn, J.C., Hayes, B.K.","Are There Two Processes in Reasoning? The Dimensionality of Inductive and Deductive Inferences",2017,"Psychological Review",,,,"","",,2,10.1037/rev0000088,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037710144&doi=10.1037%2frev0000088&partnerID=40&md5=5434383555349c14f0b4fd00460bfe42",Article in Press,,Scopus,2-s2.0-85037710144
"Kahane, G., Everett, J.A.C., Earp, B.D., Caviola, L., Faber, N.S., Crockett, M.J., Savulescu, J.","Beyond Sacrificial Harm: A Two-Dimensional Model of Utilitarian Psychology",2017,"Psychological Review",,,,"","",,,10.1037/rev0000093,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038623715&doi=10.1037%2frev0000093&partnerID=40&md5=2195f8578c5c4e1acbcbb3ccc7a51616",Article in Press,,Scopus,2-s2.0-85038623715
"Fritsche, I., Barth, M., Jugert, P., Masson, T., Reese, G.","A Social Identity Model of Pro-Environmental Action (SIMPEA)",2017,"Psychological Review",,,,"","",,,10.1037/rev0000090,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038635109&doi=10.1037%2frev0000090&partnerID=40&md5=3c681c5dcf2c2c6a934f496b4db64446",Article in Press,,Scopus,2-s2.0-85038635109
"Ratcliff, R., McKoon, G.","Modeling Numerosity Representation With an Integrated Diffusion Model",2017,"Psychological Review",,,,"","",,,10.1037/rev0000085,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033796524&doi=10.1037%2frev0000085&partnerID=40&md5=221b007383c7676e25b51c4946c28fdb",Article in Press,,Scopus,2-s2.0-85033796524
"Lieder, F., Griffiths, T.L.","Strategy selection as rational metareasoning",2017,"Psychological Review","124","6",,"762","794",,,10.1037/rev0000075,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032938998&doi=10.1037%2frev0000075&partnerID=40&md5=a4a2d9cea8134e1eedd30a8308042906",Article,,Scopus,2-s2.0-85032938998
"Werchan, D.M., Amso, D.","A novel ecological account of prefrontal cortex functional development",2017,"Psychological Review","124","6",,"720","739",,,10.1037/rev0000078,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032989739&doi=10.1037%2frev0000078&partnerID=40&md5=af5d43247644826501e35332cd6e5f0b",Article,,Scopus,2-s2.0-85032989739
"Dweck, C.S.","From needs to goals and representations: Foundations for a unified theory of motivation, personality, and development",2017,"Psychological Review","124","6",,"689","719",,,10.1037/rev0000082,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029786394&doi=10.1037%2frev0000082&partnerID=40&md5=2995a9358d1a66b929b2042c0e142ba8",Article,,Scopus,2-s2.0-85029786394
