Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Lim, S.-L., Penrod, M.T., Ha, O.-R., Bruce, J.M., Bruce, A.S.","Calorie Labeling Promotes Dietary Self-Control by Shifting the Temporal Dynamics of Health- and Taste-Attribute Integration in Overweight Individuals",2018,"Psychological Science","29","3",,"447","462",,,10.1177/0956797617737871,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043713777&doi=10.1177%2f0956797617737871&partnerID=40&md5=cab2d36ff908ecdc65039f8420899ab3",Article,,Scopus,2-s2.0-85043713777
"Fredrickson, B.L., Kok, B.E.","Evidence for the Upward Spiral Stands Steady: A Response to Nickerson (2018)",2018,"Psychological Science","29","3",,"467","470",,,10.1177/0956797617707319,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043678745&doi=10.1177%2f0956797617707319&partnerID=40&md5=6f83e9550588bde0e7989c93e145eab8",Letter,,Scopus,2-s2.0-85043678745
"Seli, P., Carriere, J.S.A., Wammes, J.D., Risko, E.F., Schacter, D.L., Smilek, D.","On the Clock: Evidence for the Rapid and Strategic Modulation of Mind Wandering",2018,"Psychological Science",,,,"","",,,10.1177/0956797618761039,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044022212&doi=10.1177%2f0956797618761039&partnerID=40&md5=d50bce8101d4194051861642a6873855",Article in Press,,Scopus,2-s2.0-85044022212
"Lu, J.G., Lee, J.J., Gino, F., Galinsky, A.D.","Polluted Morality: Air Pollution Predicts Criminal Activity and Unethical Behavior",2018,"Psychological Science","29","3",,"340","355",,,10.1177/0956797617735807,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043694626&doi=10.1177%2f0956797617735807&partnerID=40&md5=18a4575b8961efdd1667a18865702dc8",Article,,Scopus,2-s2.0-85043694626
"Cha, O., Chong, S.C.","Perceived Average Orientation Reflects Effective Gist of the Surface",2018,"Psychological Science","29","3",,"319","327",,,10.1177/0956797617735533,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043721337&doi=10.1177%2f0956797617735533&partnerID=40&md5=1a502c5eb29aa0dac9f6db3c405cb800",Article,,Scopus,2-s2.0-85043721337
"Nickerson, C.A.","Overstating the Effects of Loving-Kindness Meditation: Comment on Kok et al. (2013)",2018,"Psychological Science","29","3",,"463","466",,1,10.1177/0956797616682946,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043682709&doi=10.1177%2f0956797616682946&partnerID=40&md5=e01254f6333a7d0e83f44be7494213fd",Note,,Scopus,2-s2.0-85043682709
"Chen, Z., Kosovicheva, A., Wolfe, B., Cavanagh, P., Gorea, A., Whitney, D.","Unifying Visual Space Across the Left and Right Hemifields",2018,"Psychological Science","29","3",,"356","369",,,10.1177/0956797617735534,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043716188&doi=10.1177%2f0956797617735534&partnerID=40&md5=53c9825df81833bdd8f98eb2dd3138a1",Article,,Scopus,2-s2.0-85043716188
"Akinola, M., Page-Gould, E., Mehta, P.H., Liu, Z.","Hormone-Diversity Fit: Collective Testosterone Moderates the Effect of Diversity on Group Performance",2018,"Psychological Science",,,,"","",,,10.1177/0956797617744282,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044286586&doi=10.1177%2f0956797617744282&partnerID=40&md5=a847e46cecc624a3b5847187edeafbba",Article in Press,,Scopus,2-s2.0-85044286586
"Cundiff, J.M., Matthews, K.A.","Friends With Health Benefits: The Long-Term Benefits of Early Peer Social Integration for Blood Pressure and Obesity in Midlife",2018,"Psychological Science",,,,"","",,,10.1177/0956797617746510,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044024899&doi=10.1177%2f0956797617746510&partnerID=40&md5=ab87fda730ce016b2f3651893b402a22",Article in Press,,Scopus,2-s2.0-85044024899
"van Viersen, S., de Bree, E.H., Zee, M., Maassen, B., van der Leij, A., de Jong, P.F.","Pathways Into Literacy: The Role of Early Oral Language Abilities and Family Risk for Dyslexia",2018,"Psychological Science","29","3",,"418","428",,,10.1177/0956797617736886,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043467196&doi=10.1177%2f0956797617736886&partnerID=40&md5=0efd61f53a8db8ade279d3678fbd8554",Article,,Scopus,2-s2.0-85043467196
