Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Schroyen, S., Adam, S., Jerusalem, G., Missotten, P.","Ageism and its clinical impact in oncogeriatry: State of knowledge and therapeutic leads",2014,"Clinical Interventions in Aging","10",,,"117","125",,15,10.2147/CIA.S70942,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920374544&doi=10.2147%2fCIA.S70942&partnerID=40&md5=627274d47474ce054fc3aea771f91ece",Article,Open Access,Scopus,2-s2.0-84920374544
"Fowles, H.","Nursing research",2014,"Nursing standard (Royal College of Nursing (Great Britain) : 1987)","29","16",,"61","",,,10.7748/ns.29.16.61.s47,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942910355&doi=10.7748%2fns.29.16.61.s47&partnerID=40&md5=561cd87d303ceebfa80178ffe916a1d7",Article,,Scopus,2-s2.0-84942910355
"Stusak, S., Tabard, A., Sauka, F., Khot, R.A., Butz, A.","Activity sculptures: Exploring the impact of physical visualizations on running activity",2014,"IEEE Transactions on Visualization and Computer Graphics","20","12", 6888482,"2201","2210",,30,10.1109/TVCG.2014.2352953,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910098936&doi=10.1109%2fTVCG.2014.2352953&partnerID=40&md5=bea84e6b7da75ba6d57dc43cb7b9cbed",Article,,Scopus,2-s2.0-84910098936
"Lakatos, G., Gácsi, M., Konok, V., Brúder, I., Bereczky, B., Korondi, P., Miklósi, Á.","Emotion attribution to a non-humanoid robot in different social situations",2014,"PLoS ONE","9","12", e114207,"","",,9,10.1371/journal.pone.0114207,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961288149&doi=10.1371%2fjournal.pone.0114207&partnerID=40&md5=16c1816187c3a238eb1e62786bab092e",Article,Open Access,Scopus,2-s2.0-84961288149
"Lees, C.","The gmc and doctors' suicides",2014,"BMJ (Online)","349",, g7740,"","",,1,10.1136/bmj.g7740,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920812271&doi=10.1136%2fbmj.g7740&partnerID=40&md5=b418531636f938bedeb78686ed06e45c",Letter,,Scopus,2-s2.0-84920812271
"Giordano, B.L., Egermann, H., Bresin, R.","The production and perception of emotionally expressive walking sounds: Similarities between musical performance and everyday motor activity",2014,"PLoS ONE","9","12", 0115587,"","",,6,10.1371/journal.pone.0115587,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920465239&doi=10.1371%2fjournal.pone.0115587&partnerID=40&md5=9a83accd5ccea9441a46d49a926b1451",Article,Open Access,Scopus,2-s2.0-84920465239
"Parker, G., Paterson, A., Fletcher, K., McClure, G., Berk, M.","Construct validity of the Experiences of Therapy Questionnaire (ETQ)",2014,"BMC Psychiatry","14","1", 369,"","",,2,10.1186/s12888-014-0369-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925398092&doi=10.1186%2fs12888-014-0369-6&partnerID=40&md5=42045965554f6d59fd70cf2ffe516336",Article,,Scopus,2-s2.0-84925398092
"Pennebaker, J.W., Chung, C.K., Frazee, J., Lavergne, G.M., Beaver, D.I.","When small words foretell academic success: The case of college admissions essays",2014,"PLoS ONE","9","12", e115844,"","",,21,10.1371/journal.pone.0115844,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938634423&doi=10.1371%2fjournal.pone.0115844&partnerID=40&md5=cac129222c1a35dccc412efa168eaddc",Article,Open Access,Scopus,2-s2.0-84938634423
"Wallmeier, L., Wiegrebe, L.","Ranging in human sonar: Effects of additional early reflections and exploratory head movements",2014,"PLoS ONE","9","12", e115363,"","",,7,10.1371/journal.pone.0115363,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938372156&doi=10.1371%2fjournal.pone.0115363&partnerID=40&md5=32a681a3a47ba92942d7ed876a6982b6",Article,Open Access,Scopus,2-s2.0-84938372156
"Foster, L.","Expression of your religious beliefs may be inappropriate",2014,"Nursing standard (Royal College of Nursing (Great Britain) : 1987)","29","16",,"33","",,,10.7748/ns.29.16.33.s43,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942867663&doi=10.7748%2fns.29.16.33.s43&partnerID=40&md5=c2dfa8b2332d3f2dda9dfe87dd67bc80",Letter,,Scopus,2-s2.0-84942867663
